timestamp,x,y,z
2026-08-01 00:00:00,17999.746380412296,-1499.8346627890069,51999.66438631833
2026-08-01 00:00:01,17999.806699086,-1500.3446659987203,52000.81893436968
2026-08-01 00:00:02,17999.7250391111,-1499.9229768593577,52000.22355908146
2026-08-01 00:00:03,17999.80272806311,-1500.3858173403962,51999.48688073287
2026-08-01 00:00:04,18000.622059045338,-1500.2513358122776,52000.48614454511
2026-08-01 00:00:05,17999.786352158728,-1500.2208302917572,51999.62802433908
2026-08-01 00:00:06,17999.70706774419,-1500.1967520033415,52000.74786260932
2026-08-01 00:00:07,18000.100095551552,-1500.5973589790844,52000.17583808598
2026-08-01 00:00:08,17999.38140155548,-1500.4473465379017,51999.44445772123
2026-08-01 00:00:09,17999.91749241093,-1498.9375659276375,52000.28277514743
2026-08-01 00:00:10,18000.289089686165,-1499.220036423665,52000.17784515094
2026-08-01 00:00:11,18000.798799602282,-1499.4749778258226,52000.157029854265
2026-08-01 00:00:12,17999.84661259534,-1499.0927838892023,51999.06954626908
2026-08-01 00:00:13,18000.163862478938,-1500.667131678924,51999.723172412356
2026-08-01 00:00:14,17998.560952508997,-1500.2757287875295,51999.67382891782
2026-08-01 00:00:15,18000.015108755382,-1500.3659492071022,51999.944676680345
2026-08-01 00:00:16,17999.743282778676,-1501.0471108619881,52000.3454570508
2026-08-01 00:00:17,18000.78084826903,-1500.1732269149616,52000.52636824974
2026-08-01 00:00:18,17999.563810403757,-1500.5592925913227,52000.305124595696
2026-08-01 00:00:19,18000.488579851553,-1500.2182254675533,51999.3949261858
2026-08-01 00:00:20,17998.905046859392,-1500.483778807976,52000.485304628106
2026-08-01 00:00:21,17999.362415403502,-1500.2639527262754,51999.87623836874
2026-08-01 00:00:22,17999.683047620918,-1499.828567561593,51999.482326451995
2026-08-01 00:00:23,17999.950592870224,-1499.761206593767,51999.33809529204
2026-08-01 00:00:24,17999.745893143296,-1499.823285344711,51998.989645076144
2026-08-01 00:00:25,18000.20818112046,-1500.1993947583746,51999.7845853932
2026-08-01 00:00:26,18000.041292437774,-1499.7391921463413,52000.202361052085
2026-08-01 00:00:27,18000.109476292837,-1499.1556955552767,52000.08186419354
2026-08-01 00:00:28,17999.733528368884,-1499.3142116038096,51999.60243984212
2026-08-01 00:00:29,17999.6751706955,-1500.2783900141233,52000.74936821923
2026-08-01 00:00:30,17999.364197181014,-1500.3728982109528,51999.691456202665
